Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date," BC End Date	",ND Start Date,ND End Date,Actual Payment Date
500655,GRWRHITECH,Garware Hi-Tech Films Ltd,11-Sep-00,NIL Dividend - Rs. - 0.0000,-,26-Sep-00,30-Sep-00,11-Sep-00,22-Sep-00,-
530773,IVRCLINFRA,IVRCL LTD,11-Sep-00,Dividend - Rs. - 3.0000,-,26-Sep-00,29-Sep-00,11-Sep-00,22-Sep-00,-
514034,JBFIND,JBF INDUSTRIES LTD.,11-Sep-00,NIL Dividend - Rs. - 0.0000,-,25-Sep-00,29-Sep-00,11-Sep-00,22-Sep-00,-
524280,KOPRAN,KOPRAN LTD.,11-Sep-00,Dividend - Rs. - 1.8000,-,26-Sep-00,30-Sep-00,11-Sep-00,22-Sep-00,-
501343,MOTOGENFIN,MOTOR & GENERAL FINANCE LTD.,11-Sep-00,NIL Dividend - Rs. - 0.0000,-,22-Sep-00,28-Sep-00,11-Sep-00,20-Sep-00,-
500294,NCC,NCC Limited,11-Sep-00,NIL Dividend - Rs. - 0.0000,-,16-Sep-00,29-Sep-00,11-Sep-00,14-Sep-00,-
526247,PREMEXPLQ,PREMIER EXPLOSIVES LTD.,11-Sep-00,NIL Dividend - Rs. - 0.0000,-,16-Sep-00,30-Sep-00,11-Sep-00,14-Sep-00,-
500389,SILVERLINE,SILVERLINE TECHNOLOGIES LTD.,11-Sep-00,Dividend - Rs. - 1.7500,-,25-Sep-00,28-Sep-00,11-Sep-00,22-Sep-00,-
526479,SKYIND,SKY INDUSTRIES LTD.-$,11-Sep-00,Dividend - Rs. - 1.0000,-,25-Sep-00,28-Sep-00,11-Sep-00,22-Sep-00,-
511539,SUPRATRE,Supra Trends Limited,11-Sep-00,NIL Dividend - Rs. - 0.0000,-,25-Sep-00,29-Sep-00,11-Sep-00,22-Sep-00,-
506687,TRANSPEK,TRANSPEK INDUSTRY LTD.-$,11-Sep-00,Dividend - Rs. - 0.8000,-,25-Sep-00,28-Sep-00,11-Sep-00,22-Sep-00,-
531225,XTGLOBAL,Xtglobal Infotech Ltd,11-Sep-00,Dividend - Rs. - 1.0000,-,25-Sep-00,30-Sep-00,11-Sep-00,22-Sep-00,-
512587,ZODJRDMKJ,ZODIAC-JRD-MKJ LTD.,11-Sep-00,NIL Dividend - Rs. - 0.0000,-,25-Sep-00,30-Sep-00,11-Sep-00,22-Sep-00,-
524288,AIMCOPEST,AIMCO PESTICIDES LTD.,12-Sep-00,NIL Dividend - Rs. - 0.0000,-,27-Sep-00,30-Sep-00,12-Sep-00,22-Sep-00,-
509930,SUPREMEIND,SUPREME INDUSTRIES LTD.,20-Sep-00,Final Dividend - Rs. - 2.0000,-,05-Oct-00,05-Oct-00,20-Sep-00,03-Oct-00,-
500209,INFY,INFOSYS LTD.,25-Oct-00,Interim Dividend - Rs. - 2.5000,10-Nov-00,-,-,25-Oct-00,08-Nov-00,-
500940,FINOLEXIND,FINOLEX INDUSTRIES LTD.,30-Oct-00,NIL Dividend - Rs. - 0.0000,-,13-Nov-00,28-Nov-00,30-Oct-00,10-Nov-00,-
500422,TRANSCHEM,TRANSCHEM LTD.-$,30-Oct-00,NIL Dividend - Rs. - 0.0000,-,13-Nov-00,18-Nov-00,30-Oct-00,10-Nov-00,-
